,undlName,text
3,1177.HK,sino biopharmaceutical-  placing agreement to procure placees to purchase for 300 mln shares of company at hk10.5 per share
4,1177.HK,sino biopharmaceutical- does not expect placing to have any impact on business or ops of co; composition of board remains unchanged
5,1177.HK,sino biopharmaceutical  - a company onwed by ceo  entered into a placing agreement with third parties independent from co
2,1177.HK,sino biopharmaceutical says a company onwed by ceo  entered into a placing agreement with third parties independent from co
4,0857.HK,1-petrochina to sell major pipeline assets to pipechina for 38 bln
2,0857.HK,rpt-1-petrochina to sell major pipeline assets to pipechina for 38 bln
1,0857.HK,petrochinas 38 bln sale unlocks reform and value
6,0005.HK,"europe research roundup-clinigen group, hsbc, standard chartered"
1,2333.HK,china's great wall motor hits 3-yr high in shanghai on upbeat estimate
1,9988.HK,"alibaba cloud helps chinese students, foreign schools scale great firewall"
